# "Year"   "kmsq"   "kcfx.m"      "N-Load"    "N-conc"   "U-wind"    
1985        9774      26200.0     112000      4.27480      0.02     	
1986        9432      20500.0     121000      5.90243     -0.27     
1987        6688      17800.0      87400      4.91011     -0.11     
1988        40        13400.0      50500      3.76865     -1.99
1989        8100      24700.0      69400      2.80971      0.32
1990        9260      36000.0     146000      4.05555      0.15     
1991        11920     43600.0     189000      4.33486      1.51     
1992        10804     18600.0     104000      5.59139      1.05     
1993        17600     46200.0     214000      4.63203     -1.7      
1994        16600     42100.0     130000      3.08788      0.58     
1995        18200     31300.0     142000      4.53674     -0.04     
1996        17920     34600.0     146000      4.21965      0.24     
1997        15840     31400.0     122000      3.88535      0.92     
1998        12480     40400.0     170000      4.20792      2.28     
1999        20000     33100.0     182000      5.49848     -0.6      
2000        4400      15900.0      62500      3.93081      1.15     
2001        20720     20900.0     123000      5.88516      0.41     
2002        22000     35600.0     157000      4.41011     -1.65     
2003        8560      28900.0     106000      3.66782     -0.67     
2004        15040     25800.0      94100      3.64728     -0.14     
2005        11840     17500.0      84100      4.80571     -0.47     
2006        17280     19500.0     115000      5.89743     -1.61     
2007        20500     25400.0     148000      5.82677      0.43     
2008        20720     44400.0     192000      4.32432      0.78     
2009        8000      42000.0     155000      3.69047      2.05     
2010        20000     31300.0     118000      3.76996     -2.49     
